section_index,section_name,section_title,start_address,end_address,record_count,fcb_count,fdb_count,data_width,raw_label,raw_comment,module_candidate,submodule_candidate,minimal_os_relevance,excluded_reason,source_confidence,needs_hardware_contract,notes
206,CAL_$62D7,L63F8 FCB 58 ; 58 120 | L63F9 FCB 58 ; 58 124 | L63FA FCB 58,$62D7,$63FA,292,292,0,8_bit_fcb,L62D7,L63F8 FCB 58 ; 58 120 | L63F9 FCB 58 ; 58 124 | L63FA FCB 58 ; 58 128 ,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
207,CAL_$63FB,L63F9 FCB 58 ; 58 15 | L63FA FCB 58 ; 58 16 | MANUAL MODE LI,$63FB,$651E,292,292,0,8_bit_fcb,L63FB,L63F9 FCB 58 ; 58 15 | L63FA FCB 58 ; 58 16 | MANUAL MODE LINE PRESS 0,sensor_scaling,sensor scaling/input conditioning,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
208,CAL_$651F,L651D FCB 255 ; 255 60 | L651E FCB 255 ; 255 64 | MANUAL MOD,$651F,$6642,292,292,0,8_bit_fcb,L651F,L651D FCB 255 ; 255 60 | L651E FCB 255 ; 255 64 | MANUAL MODE LINE PRE,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
209,CAL_$6643,PSI Mod %TPS,$6643,$6653,17,17,0,8_bit_fcb,L6643,PSI Mod %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
210,CAL_$6654,PSI Mod %TPS,$6654,$6664,17,17,0,8_bit_fcb,L6654,PSI Mod %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
211,CAL_$6665,PSI Mod %TPS,$6665,$6675,17,17,0,8_bit_fcb,L6665,PSI Mod %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
212,CAL_$6676,L6673 FCB 143 ; 15 87.5 | L6674 FCB 143 ; 15 93.8 | L6675 FC,$6676,$66DB,102,102,0,8_bit_fcb,L6676,L6673 FCB 143 ; 15 87.5 | L6674 FCB 143 ; 15 93.8 | L6675 FCB 143 ; 15,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
213,CAL_$66DC,L66D9 FCB 255 ; | L66DA FCB 255 ; | L66DB FCB 255 ; | DOWN S,$66DC,$66DE,3,3,0,8_bit_fcb,L66DC,L66D9 FCB 255 ; | L66DA FCB 255 ; | L66DB FCB 255 ; | DOWN SHIFT PRESS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
214,CAL_$66DF,PSI Mod MPH,$66DF,$66EF,17,17,0,8_bit_fcb,L66DF,PSI Mod MPH,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
215,CAL_$66F0,L66EB FCB 118 ; -10 48 | L66EC FCB 118 ; -10 52 | L66ED FCB ,$66F0,$66F2,3,3,0,8_bit_fcb,L66F0,L66EB FCB 118 ; -10 48 | L66EC FCB 118 ; -10 52 | L66ED FCB 118 ; -10 ,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
216,CAL_$66F3,PSI Mod MPH,$66F3,$6703,17,17,0,8_bit_fcb,L66F3,PSI Mod MPH,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
217,CAL_$6704,L66FF FCB 128 ; 0 48 | L6700 FCB 128 ; 0 52 | L6701 FCB 128 ,$6704,$6706,3,3,0,8_bit_fcb,L6704,L66FF FCB 128 ; 0 48 | L6700 FCB 128 ; 0 52 | L6701 FCB 128 ; 0 56 | L,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
218,CAL_$6707,PSI Mod MPH,$6707,$6AF9,1011,1011,0,8_bit_fcb,L6707,PSI Mod MPH,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
219,CAL_$6AFA,MPH %TPS,$6AFA,$6B0A,17,17,0,8_bit_fcb,L6AFA,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
220,CAL_$6B0B,MPH %TPS,$6B0B,$6B1B,17,17,0,8_bit_fcb,L6B0B,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
221,CAL_$6B1C,MPH %TPS,$6B1C,$6BC5,170,170,0,8_bit_fcb,L6B1C,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
222,CAL_$6BC6,MPH %TPS,$6BC6,$6BD6,17,17,0,8_bit_fcb,L6BC6,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
223,CAL_$6BD7,MPH %TPS,$6BD7,$6BE7,17,17,0,8_bit_fcb,L6BD7,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
224,CAL_$6BE8,MPH %TPS,$6BE8,$6BF8,17,17,0,8_bit_fcb,L6BE8,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
225,CAL_$6BF9,L6BF4 FCB 116 ; 58 75.0 | L6BF5 FCB 116 ; 58 81.3 | L6BF6 FC,$6BF9,$6E58,608,608,0,8_bit_fcb,L6BF9,L6BF4 FCB 116 ; 58 75.0 | L6BF5 FCB 116 ; 58 81.3 | L6BF6 FCB 116 ; 58,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
226,CAL_$6E59,L6E56 FCB 100 ; | L6E57 FCB 70 ; | L6E58 FCB 110 ; | 09-20-2,$6E59,$70FF,679,679,0,8_bit_fcb,L6E59,L6E56 FCB 100 ; | L6E57 FCB 70 ; | L6E58 FCB 110 ; | 09-20-2000 Dissas,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
